job_id,skill,skill_category,importance,proficiency_level,is_genai_skill
JOB000001,Python,programming,core,advanced,0
JOB000001,Azure,cloud,core,advanced,0
JOB000001,BigQuery,data-platform,core,advanced,0
JOB000001,dbt,data-platform,strong,intermediate,0
JOB000001,GCP,cloud,strong,intermediate,0
JOB000001,Kafka,data-platform,strong,intermediate,0
JOB000001,AWS,cloud,nice_to_have,basic,0
JOB000001,Data Modeling,analytics,nice_to_have,basic,0
JOB000001,Databricks,data-platform,nice_to_have,basic,0
JOB000001,Spark,data-platform,nice_to_have,basic,0
JOB000001,SQL,analytics,nice_to_have,basic,0
JOB000001,Airflow,data-platform,nice_to_have,basic,0
JOB000002,SQL,analytics,core,advanced,0
JOB000002,Python,programming,core,advanced,0
JOB000002,Statistics,analytics,core,advanced,0
JOB000002,Excel,bi,strong,intermediate,0
JOB000002,Azure,cloud,strong,intermediate,0
JOB000002,Pandas,analytics,strong,intermediate,0
JOB000002,Looker,bi,nice_to_have,basic,0
JOB000002,Tableau,bi,nice_to_have,basic,0
JOB000003,Docker,platform,core,advanced,0
JOB000003,Azure,cloud,core,advanced,0
JOB000003,Model Monitoring,mlops,core,advanced,0
JOB000003,Feature Store,mlops,strong,intermediate,0
JOB000003,AWS,cloud,strong,intermediate,0
JOB000003,Terraform,platform,strong,intermediate,0
JOB000003,GCP,cloud,nice_to_have,basic,0
JOB000003,Python,programming,nice_to_have,basic,0
JOB000004,SQL,analytics,core,advanced,0
JOB000004,BigQuery,data-platform,core,advanced,0
JOB000004,Looker,bi,core,advanced,0
JOB000004,Data Modeling,analytics,strong,intermediate,0
JOB000004,dbt,data-platform,strong,intermediate,0
JOB000004,Snowflake,data-platform,strong,intermediate,0
JOB000004,GCP,cloud,nice_to_have,basic,0
JOB000005,TensorFlow,ml,core,advanced,0
JOB000005,Docker,platform,core,advanced,0
JOB000005,Feature Store,mlops,core,advanced,0
JOB000005,Spark,data-platform,strong,intermediate,0
JOB000005,Airflow,data-platform,strong,intermediate,0
JOB000005,AWS,cloud,strong,intermediate,0
JOB000005,Databricks,data-platform,nice_to_have,basic,0
JOB000005,Azure,cloud,nice_to_have,basic,0
JOB000005,Python,programming,nice_to_have,basic,0
JOB000005,PyTorch,ml,nice_to_have,basic,0
JOB000006,Python,programming,core,advanced,0
JOB000006,Anthropic API,llm,core,advanced,1
JOB000006,Scientific Writing,research,core,advanced,0
JOB000006,Azure,cloud,strong,intermediate,0
JOB000006,PyTorch,ml,strong,intermediate,0
JOB000006,pgvector,llm,strong,intermediate,1
JOB000006,Statistics,analytics,nice_to_have,basic,0
JOB000006,Transformers,ml,nice_to_have,basic,1
JOB000006,DSPy,llm,nice_to_have,basic,1
JOB000007,Product Strategy,product,core,advanced,0
JOB000007,User Research,product,core,advanced,0
JOB000007,Experiment Design,analytics,core,advanced,0
JOB000007,Prompt Engineering,llm,strong,intermediate,1
JOB000007,Roadmapping,product,strong,intermediate,0
JOB000007,Analytics,analytics,strong,intermediate,0
JOB000007,SQL,analytics,nice_to_have,basic,0
JOB000008,Python,programming,core,advanced,0
JOB000008,Airflow,data-platform,core,advanced,0
JOB000008,Kubernetes,platform,core,advanced,0
JOB000008,MLflow,mlops,strong,intermediate,0
JOB000008,Azure,cloud,strong,intermediate,0
JOB000008,Spark,data-platform,strong,intermediate,0
JOB000008,CI/CD,platform,nice_to_have,basic,0
JOB000008,PyTorch,ml,nice_to_have,basic,0
JOB000008,GCP,cloud,nice_to_have,basic,0
JOB000008,Docker,platform,nice_to_have,basic,0
JOB000008,AWS,cloud,nice_to_have,basic,0
JOB000009,Power BI,bi,core,advanced,0
JOB000009,Tableau,bi,core,advanced,0
JOB000009,Dashboarding,bi,core,advanced,0
JOB000009,Stakeholder Management,product,strong,intermediate,0
JOB000009,AWS,cloud,strong,intermediate,0
JOB000009,Looker,bi,strong,intermediate,0
JOB000009,SQL,analytics,nice_to_have,basic,0
JOB000010,PyTorch,ml,core,advanced,0
JOB000010,Azure,cloud,core,advanced,0
JOB000010,Python,programming,core,advanced,0
JOB000010,TensorFlow,ml,strong,intermediate,0
JOB000010,MLflow,mlops,strong,intermediate,0
JOB000010,Spark,data-platform,strong,intermediate,0
JOB000010,CI/CD,platform,nice_to_have,basic,0
