year_month,skill,skill_category,job_count,median_salary_mid_usd,remote_share,share_of_postings
2024-01,Python,programming,678,147000,0.416,0.8794
2024-01,SQL,analytics,466,141000,0.391,0.6044
2024-01,Azure,cloud,300,143000,0.457,0.3891
2024-01,AWS,cloud,278,148000,0.381,0.3606
2024-01,GCP,cloud,276,144500,0.442,0.358
2024-01,Statistics,analytics,224,147000,0.397,0.2905
2024-01,Snowflake,data-platform,181,138000,0.365,0.2348
2024-01,PyTorch,ml,176,155000,0.432,0.2283
2024-01,BigQuery,data-platform,172,141000,0.395,0.2231
2024-01,Pandas,analytics,163,140000,0.368,0.2114
2024-01,Looker,bi,160,129500,0.319,0.2075
2024-01,A/B Testing,analytics,159,140000,0.333,0.2062
2024-01,Docker,platform,158,153000,0.456,0.2049
2024-01,Databricks,data-platform,144,143000,0.361,0.1868
2024-01,Experiment Design,analytics,144,154000,0.451,0.1868
2024-01,Excel,bi,127,130000,0.331,0.1647
2024-01,Spark,data-platform,127,153000,0.402,0.1647
2024-01,dbt,data-platform,125,134000,0.4,0.1621
2024-01,Tableau,bi,119,132000,0.361,0.1543
2024-01,Feature Engineering,ml,111,150000,0.45,0.144
2024-01,CI/CD,platform,110,158000,0.409,0.1427
2024-01,XGBoost,ml,110,154000,0.455,0.1427
2024-01,Data Modeling,analytics,109,135000,0.404,0.1414
2024-01,scikit-learn,ml,109,161000,0.44,0.1414
2024-01,Airflow,data-platform,108,141500,0.389,0.1401
2024-01,Feature Store,mlops,108,154000,0.454,0.1401
2024-01,Prompt Engineering,llm,99,164000,0.485,0.1284
2024-01,MLflow,mlops,95,153000,0.421,0.1232
2024-01,Kubernetes,platform,90,141500,0.433,0.1167
2024-01,FastAPI,backend,83,172000,0.47,0.1077
2024-01,Jupyter,tooling,82,152000,0.476,0.1064
2024-01,LLM Evaluation,llm,77,168000,0.403,0.0999
2024-01,RAG,llm,66,165000,0.515,0.0856
2024-01,TensorFlow,ml,66,147000,0.455,0.0856
2024-01,Stakeholder Management,product,63,140000,0.413,0.0817
2024-01,Kafka,data-platform,57,145000,0.421,0.0739
2024-01,Vector Databases,llm,55,167000,0.473,0.0713
2024-01,OpenAI API,llm,53,152000,0.491,0.0687
2024-01,Transformers,ml,47,154000,0.468,0.061
2024-01,LangChain,llm,35,167000,0.371,0.0454
2024-02,Python,programming,720,148000,0.449,0.8966
2024-02,SQL,analytics,493,141000,0.436,0.6139
2024-02,GCP,cloud,281,143000,0.48,0.3499
2024-02,Azure,cloud,278,146500,0.475,0.3462
2024-02,AWS,cloud,276,146500,0.431,0.3437
2024-02,Statistics,analytics,234,142000,0.436,0.2914
2024-02,Looker,bi,194,137500,0.438,0.2416
2024-02,Snowflake,data-platform,191,140000,0.403,0.2379
2024-02,BigQuery,data-platform,187,135000,0.46,0.2329
2024-02,A/B Testing,analytics,171,139000,0.421,0.213
2024-02,Pandas,analytics,170,138500,0.465,0.2117
2024-02,PyTorch,ml,161,151000,0.484,0.2005
2024-02,Docker,platform,142,157500,0.514,0.1768
2024-02,dbt,data-platform,142,132000,0.423,0.1768
2024-02,Databricks,data-platform,137,139000,0.46,0.1706
2024-02,Experiment Design,analytics,131,150000,0.443,0.1631
2024-02,Excel,bi,126,136000,0.444,0.1569
2024-02,Tableau,bi,124,133500,0.484,0.1544
2024-02,Prompt Engineering,llm,119,176000,0.454,0.1482
2024-02,Feature Engineering,ml,118,151000,0.381,0.1469
2024-02,XGBoost,ml,117,151000,0.393,0.1457
2024-02,Data Modeling,analytics,116,135000,0.431,0.1445
2024-02,scikit-learn,ml,111,161000,0.342,0.1382
2024-02,Spark,data-platform,104,141000,0.433,0.1295
2024-02,Airflow,data-platform,103,139000,0.427,0.1283
2024-02,RAG,llm,96,182000,0.396,0.1196
2024-02,Jupyter,tooling,95,147000,0.389,0.1183
2024-02,FastAPI,backend,94,179000,0.404,0.1171
2024-02,Kubernetes,platform,84,147000,0.512,0.1046
2024-02,CI/CD,platform,80,146500,0.5,0.0996
2024-02,Feature Store,mlops,77,153000,0.494,0.0959
2024-02,LLM Evaluation,llm,76,182000,0.434,0.0946
2024-02,MLflow,mlops,74,150500,0.568,0.0922
2024-02,Transformers,ml,68,153000,0.412,0.0847
2024-02,Vector Databases,llm,67,173000,0.448,0.0834
2024-02,Kafka,data-platform,63,135000,0.413,0.0785
2024-02,Stakeholder Management,product,61,142000,0.459,0.076
2024-02,TensorFlow,ml,51,146000,0.529,0.0635
2024-02,LangChain,llm,48,180000,0.354,0.0598
2024-02,OpenAI API,llm,45,166000,0.511,0.056
2024-03,Python,programming,710,148000,0.39,0.8908
2024-03,SQL,analytics,480,141000,0.394,0.6023
2024-03,GCP,cloud,315,144000,0.39,0.3952
2024-03,AWS,cloud,286,144000,0.392,0.3588
2024-03,Azure,cloud,281,147000,0.413,0.3526
2024-03,Statistics,analytics,235,138000,0.37,0.2949
2024-03,PyTorch,ml,181,153000,0.365,0.2271
2024-03,Snowflake,data-platform,177,147000,0.435,0.2221
2024-03,BigQuery,data-platform,173,150000,0.422,0.2171
2024-03,Experiment Design,analytics,170,143500,0.418,0.2133
2024-03,Docker,platform,168,155000,0.357,0.2108
2024-03,Pandas,analytics,167,135000,0.377,0.2095
2024-03,A/B Testing,analytics,166,132000,0.41,0.2083
2024-03,Looker,bi,161,134000,0.311,0.202
2024-03,XGBoost,ml,144,149000,0.417,0.1807
2024-03,Feature Engineering,ml,140,148500,0.443,0.1757
2024-03,Databricks,data-platform,139,144000,0.417,0.1744
2024-03,scikit-learn,ml,137,153000,0.394,0.1719
2024-03,Airflow,data-platform,120,144500,0.4,0.1506
2024-03,Tableau,bi,118,127500,0.331,0.1481
2024-03,Spark,data-platform,117,138000,0.368,0.1468
2024-03,dbt,data-platform,116,143000,0.448,0.1455
2024-03,Excel,bi,111,131000,0.351,0.1393
2024-03,Data Modeling,analytics,105,145000,0.448,0.1317
2024-03,Feature Store,mlops,104,143000,0.365,0.1305
2024-03,Prompt Engineering,llm,103,166000,0.447,0.1292
2024-03,Kubernetes,platform,101,147000,0.366,0.1267
2024-03,MLflow,mlops,99,143000,0.323,0.1242
2024-03,FastAPI,backend,93,170000,0.387,0.1167
2024-03,CI/CD,platform,92,142000,0.359,0.1154
2024-03,Jupyter,tooling,89,144000,0.427,0.1117
2024-03,LLM Evaluation,llm,88,172500,0.409,0.1104
2024-03,RAG,llm,75,168000,0.36,0.0941
2024-03,Vector Databases,llm,68,170000,0.456,0.0853
2024-03,Stakeholder Management,product,64,137500,0.359,0.0803
2024-03,LangChain,llm,59,177000,0.356,0.074
2024-03,Kafka,data-platform,58,143500,0.448,0.0728
2024-03,TensorFlow,ml,57,142000,0.281,0.0715
2024-03,OpenAI API,llm,51,182000,0.451,0.064
2024-03,Transformers,ml,46,157500,0.435,0.0577
2024-04,Python,programming,784,152000,0.397,0.894
2024-04,SQL,analytics,517,145000,0.389,0.5895
2024-04,AWS,cloud,335,149000,0.415,0.382
2024-04,GCP,cloud,318,153500,0.412,0.3626
2024-04,Azure,cloud,302,148000,0.394,0.3444
2024-04,Statistics,analytics,252,145500,0.401,0.2873
2024-04,PyTorch,ml,227,157000,0.414,0.2588
2024-04,BigQuery,data-platform,203,155000,0.389,0.2315
2024-04,Snowflake,data-platform,198,149500,0.424,0.2258
2024-04,Looker,bi,185,130000,0.368,0.2109
2024-04,Docker,platform,183,161000,0.426,0.2087
2024-04,Pandas,analytics,167,138000,0.377,0.1904
2024-04,A/B Testing,analytics,164,140000,0.372,0.187
2024-04,Experiment Design,analytics,148,153000,0.412,0.1688
2024-04,Databricks,data-platform,147,152000,0.429,0.1676
2024-04,Tableau,bi,145,130000,0.4,0.1653
2024-04,Spark,data-platform,140,145000,0.436,0.1596
2024-04,Data Modeling,analytics,139,149000,0.36,0.1585
2024-04,Airflow,data-platform,135,152000,0.4,0.1539
2024-04,dbt,data-platform,135,149000,0.341,0.1539
2024-04,XGBoost,ml,131,155000,0.397,0.1494
