paper_id,title,abstract,authors,year,month,category,subcategory,citation_count,venue,num_authors,has_code,primary_method,dataset_used,is_survey
arxiv.202008.00686,Towards Style Transfer with Limited Labels,"In this work, we tackle the problem of graph classification by introducing DiffuGen. The core idea is to use adversarial training to learn robust representations that generalize across domains. We validate our approach on competitive benchmarks and demonstrate substantial improvements. We also provide theoretical analysis supporting our design choices.",Andrei Bernard; Benjamin Wu; Carlos Wilson; Peng Popov; Rui Zhou; Yuki Yamamoto,2020,8,cs.CV,image-generation,75,CVPR,6,True,bayesian,Cityscapes,False
arxiv.202209.01238,End-to-End Neural Architecture Search using Knowledge Distillation,"This paper presents EfficientAI, designed for efficient image classification. By leveraging data augmentation and curriculum learning, our approach reduces computational cost by 37% while maintaining competitive performance on challenging real-world datasets. We provide detailed analysis of the trade-offs between efficiency and accuracy.",Jian Wang; Siddharth Martin; Zhi Sun,2022,9,cs.LG,optimization,240,NeurIPS,3,False,ensemble,CIFAR-10,False
arxiv.202209.01255,Attention-Based Hyperparameter Optimization using Large Language Models,"This paper introduces ContextFlow for semantic segmentation. Unlike prior work that relies on data augmentation, we design a spectral normalization framework that directly addresses catastrophic forgetting. Evaluation on large-scale datasets shows that our approach outperforms existing baselines by a significant margin while requiring fewer computational resources.",Christopher Vinyals; Ian Zhou; Jian Zhang; Matthew Shah; Percy Singh; Tao Radford,2022,9,cs.LG,meta-learning,42,CVPR,6,True,transformer,CIFAR-100,False
arxiv.202210.01188,Progressive Point Cloud Processing across Domains,"This paper introduces SmartFuse for anomaly detection. Unlike prior work that relies on self-supervised pre-training, we design a residual connections framework that directly addresses training instability. Evaluation on both synthetic and real-world data shows that our approach outperforms existing baselines by a significant margin while requiring fewer computational resources.",Elena Liu; Oriol Petrov; Yoshua Mueller,2022,10,cs.CV,video-understanding,9,CVPR,3,False,reinforcement_learning,CelebA,False
arxiv.202309.02159,Semi-Supervised Entity Linking via Prompt Tuning,"We propose EfficientAI, a novel approach to text generation. Our method leverages denoising diffusion to achieve state-of-the-art results on standard benchmarks. Experiments demonstrate improvements of 1.6% over previous methods. We further analyze the effectiveness of our approach through extensive ablation studies and show its generalization across multiple settings.",Diego Rodriguez; Maria LeCun,2023,9,cs.IR,search-ranking,40,AAAI,2,False,transformer,MovieLens,False
arxiv.202106.00900,Towards Lottery Ticket Hypothesis,"This paper introduces DualPath for language understanding. Unlike prior work that relies on meta-learning, we design a flow matching framework that directly addresses label scarcity. Evaluation on widely-used evaluation protocols shows that our approach outperforms existing baselines by a significant margin while requiring fewer computational resources.",Alex Smith; Christopher Li; Jakob Li; Jakob Martin,2021,6,cs.LG,representation-learning,1,arXiv-only,4,False,transformer,Fashion-MNIST,False
arxiv.202406.02683,Spiking Neural Networks,"In this work, we tackle the problem of text generation by introducing DeepMix. The core idea is to use attention mechanisms to learn robust representations that generalize across domains. We validate our approach on widely-used evaluation protocols and demonstrate substantial improvements. We also provide theoretical analysis supporting our design choices.",Hao Girshick; Ian Xu,2024,6,cs.NE,spiking-networks,0,arXiv-only,2,True,transformer,CIFAR-100,False
arxiv.202509.03146,Curriculum Out-of-Distribution Detection with Transformers,"This paper presents TransFormer++, designed for efficient graph classification. By leveraging adversarial training and attention mechanisms, our approach reduces computational cost by 44% while maintaining competitive performance on challenging real-world datasets. We provide detailed analysis of the trade-offs between efficiency and accuracy.",Fei Lin; James Patel,2025,9,cs.LG,federated-learning,3,arXiv-only,2,True,gnn,Fashion-MNIST,False
arxiv.201902.00379,Progressive Transfer Learning with Graph Neural Networks,"We present a comprehensive study of language understanding in the context of neural architecture design. Through systematic experiments on multiple established benchmarks, we identify key factors that influence model performance and propose SparseGPT as a unified solution. Our approach achieves competitive results while being significantly more parameter-efficient than existing methods.",Ian Gupta; Noam Smith,2019,2,cs.LG,representation-learning,7,CVPR,2,False,transformer,Fashion-MNIST,False
arxiv.202102.00981,Adaptive Image Super-Resolution using Attention Mechanisms,"Motivated by recent progress in deep learning, we develop ProtoLearn for robot manipulation. Our framework integrates LoRA fine-tuning with a novel attention module that captures local patterns. Results on both synthetic and real-world data show consistent improvements across all evaluation metrics, establishing a new baseline for future research.",Hiroshi Chen; Jean Martin; Jean Yang; Noam Ivanov,2021,2,cs.CV,face-recognition,31,EMNLP,4,True,rnn,CIFAR-100,False
