respondent_id,survey_year,age,gender,country,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,comments
1,2021,21,Female,Other,No,Yes,Yes,Rarely,1-5,Yes,No,Don't know,No,Don't know,Yes,Don't know,Somewhat difficult,Yes,No,Yes,Yes,No,No,Yes,No,We have EAP but nobody talks about it.
2,2023,32,Male,United States,Yes,No,Yes,Sometimes,100-500,Yes,Yes,No,Yes,No,No,Yes,Don't know,Yes,Yes,Some of them,Some of them,Maybe,No,Yes,Yes,
3,2023,25,Male,United States,No,No,No,Often,26-100,Yes,Yes,No,No,No,No,Yes,Very difficult,Maybe,Maybe,Some of them,No,Maybe,Yes,Yes,No,
4,2019,29,Male,United States,No,No,Yes,Rarely,More than 1000,No,Yes,Yes,Yes,No,Yes,Don't know,Very easy,Maybe,No,Yes,Yes,Maybe,Maybe,Don't know,Yes,
5,2023,18,Male,United States,No,No,Yes,Never,26-100,Yes,Yes,No,Don't know,No,Don't know,No,Very easy,Maybe,No,No,Some of them,No,No,No,Yes,Remote work has been a double-edged sword.
6,2019,38,Male,United States,Yes,Yes,No,Rarely,26-100,No,Yes,No,Don't know,No,No,Don't know,Somewhat easy,Yes,No,Yes,Some of them,Maybe,No,Don't know,Yes,
7,2024,40,Female,United States,Yes,Yes,Yes,Often,26-100,Yes,Yes,Yes,No,No,Don't know,Don't know,Very easy,No,No,Yes,Yes,No,Maybe,Yes,Yes,Better awareness programs needed.
8,2022,31,Male,Netherlands,No,No,Yes,Often,More than 1000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,No,Yes,Yes,Some of them,No,Yes,No,No,
9,2024,23,Female,United States,No,Yes,No,Sometimes,26-100,Yes,Yes,No,No,No,Yes,Don't know,Somewhat easy,Yes,Yes,No,No,Yes,No,Yes,No,We have EAP but nobody talks about it.
10,2023,36,Female,United States,No,No,No,Rarely,More than 1000,Yes,No,Yes,Yes,Yes,Don't know,Don't know,Somewhat easy,No,No,No,No,No,Yes,Don't know,No,Remote work has been a double-edged sword.
11,2024,40,Male,Canada,No,Yes,No,Sometimes,More than 1000,No,Yes,No,No,Yes,Yes,Don't know,Don't know,Yes,No,No,Yes,No,No,Don't know,No,Remote work has been a double-edged sword.
12,2023,23,Female,United States,No,No,Yes,Rarely,26-100,Yes,No,Don't know,No,Don't know,No,No,Very easy,No,No,Yes,Some of them,No,Maybe,Don't know,No,Leadership support makes all the difference.
13,2023,18,Male,United Kingdom,No,No,Yes,Often,26-100,No,Yes,Yes,No,Yes,Don't know,Don't know,Very difficult,No,Yes,Some of them,No,Maybe,Maybe,Don't know,No,
