student_id,age,gender,ethnicity,parental_education,family_income,school_type,school_region,study_hours_per_week,attendance_rate,extracurricular_activities,sports_participation,tutoring_sessions,parental_involvement,internet_access,has_laptop,sleep_hours,stress_level,motivation_score,reading_score,writing_score,math_score,science_score,overall_gpa,passed
STU00000,15,M,B,phd,low,private,urban,2.0,91.7,5,no,17,medium,yes,yes,8.2,3.3,1.8,70.7,58.3,88.9,74.5,2.8,1
STU00001,23,F,A,phd,low,private,urban,14.2,76.8,0,yes,15,high,yes,yes,5.4,4.9,5.8,66.1,83.9,94.5,83.6,3.29,1
STU00002,22,F,B,bachelor,middle,public,suburban,3.3,83.1,4,yes,16,high,yes,yes,5.5,3.5,6.1,51.3,71.8,78.9,71.2,2.93,1
STU00003,19,M,D,some_college,high,public,suburban,17.9,72.8,1,yes,6,medium,yes,yes,5.3,8.5,7.2,100.0,95.7,82.9,69.4,3.34,1
STU00004,19,M,C,some_college,middle,public,suburban,12.9,83.0,1,yes,2,medium,no,yes,7.5,1.0,4.5,87.5,73.0,88.5,74.8,3.27,1
STU00005,24,M,B,some_college,high,public,suburban,17.2,99.2,4,yes,0,medium,no,yes,5.6,7.1,6.4,69.0,77.8,100.0,78.5,3.13,1
STU00006,15,F,B,high_school,high,public,suburban,6.0,75.4,5,yes,1,medium,no,yes,7.3,4.8,5.0,69.8,77.6,55.6,51.0,2.57,1
STU00007,22,F,E,master,low,public,rural,22.3,92.1,2,yes,5,low,no,no,6.8,5.9,5.5,80.6,89.3,87.8,98.6,3.62,1
STU00008,17,F,C,bachelor,middle,private,urban,24.8,82.8,1,yes,4,high,yes,yes,7.3,5.5,6.9,97.3,100.0,100.0,100.0,3.93,1
STU00009,16,M,C,bachelor,low,public,urban,10.8,85.8,2,no,17,low,yes,yes,8.8,5.1,6.4,91.6,94.9,89.7,91.8,3.64,1
STU00010,20,M,B,high_school,low,private,rural,12.0,84.8,2,no,9,medium,yes,no,8.5,2.9,2.9,84.3,72.3,86.5,92.4,3.27,1
STU00011,25,F,B,high_school,middle,charter,rural,10.4,72.9,3,no,13,high,no,yes,6.9,3.5,5.9,80.6,90.3,82.5,87.9,3.1,1
STU00012,23,M,D,master,low,public,urban,17.1,78.0,3,no,17,medium,yes,yes,9.6,9.2,5.8,58.5,69.9,90.5,69.3,2.85,1
STU00013,23,F,D,high_school,middle,charter,suburban,15.3,81.4,1,no,8,medium,yes,yes,6.6,5.6,9.1,86.1,76.3,86.2,81.7,3.23,1
STU00014,22,M,C,high_school,middle,private,suburban,0.0,100.0,3,no,10,medium,yes,yes,5.6,4.3,9.5,70.5,61.0,72.6,80.9,2.97,1
STU00015,23,M,D,bachelor,middle,charter,urban,6.5,87.6,3,no,11,low,no,no,5.4,5.3,2.2,48.9,63.9,58.8,60.4,2.08,1
STU00016,20,F,C,bachelor,middle,public,urban,13.9,89.4,4,yes,8,high,no,no,7.6,7.4,4.9,86.9,96.7,85.3,100.0,3.57,1
STU00017,16,F,D,high_school,high,charter,urban,16.0,84.6,2,yes,3,medium,yes,yes,5.5,5.1,1.3,59.4,75.9,83.3,64.8,2.78,1
STU00018,24,F,A,high_school,high,public,suburban,12.3,96.3,3,no,16,high,yes,no,7.5,4.3,10.0,81.7,96.5,100.0,99.5,3.6,1
STU00019,19,M,B,bachelor,high,public,urban,2.2,71.2,5,yes,5,high,yes,yes,7.9,4.3,7.0,72.6,68.3,78.0,70.6,3.11,1
STU00020,20,F,D,master,middle,charter,urban,15.3,80.3,3,no,6,low,yes,yes,7.3,5.9,6.1,94.7,100.0,100.0,91.8,3.98,1
STU00021,19,F,E,some_college,middle,charter,urban,21.9,80.6,5,no,1,low,yes,yes,7.1,6.2,4.3,85.1,85.8,87.4,79.6,3.33,1
STU00022,17,F,D,bachelor,middle,public,suburban,0.0,84.3,2,yes,13,low,yes,yes,7.1,4.8,4.9,71.6,80.8,71.3,65.8,2.91,1
STU00023,25,F,D,high_school,middle,public,rural,16.1,78.6,3,yes,5,low,yes,yes,6.5,5.2,7.2,71.8,67.6,96.2,92.0,3.3,1
STU00024,23,F,D,bachelor,low,charter,suburban,21.6,69.0,0,no,11,high,no,yes,8.4,6.0,3.7,86.7,87.4,100.0,92.1,3.77,1
