# Kaggle's tag vocabulary, from Meta Kaggle (kaggle/meta-kaggle, Tags.csv).
# A keyword outside this list is silently dropped at push time: the CLI prints
# 'not valid tags and could not be added' and the upload otherwise succeeds.
# Refresh: kaggle datasets download kaggle/meta-kaggle -f Tags.csv --unzip
name	slug	kernel_count	dataset_count
gpu	gpu	8224761	376
competition gateway	competition-gateway	1194435	0
pandas	pandas	93231	1917
personal benchmark	personal-benchmark	87626	0
docker proxy	docker-proxy	86408	0
programming	programming	83253	14276
tpu	tpu	78455	105
matplotlib	matplotlib	65555	572
numpy	numpy	61391	592
utility script	util-script	56939	0
beginner	beginner	45536	11809
data visualization	data-visualization	40120	10982
seaborn	seaborn	37278	295
exploratory data analysis	eda	36835	7673
games	games-and-toys	34461	10935
exercise	exercise	33461	19381
business	business	26013	115146
arts and entertainment	arts-and-entertainment	22828	72090
scheduled	scheduled	22507	1
classification	classification	22324	59745
deep learning	deep-learning	19250	6571
investing	investing	18628	12912
data analytics	marketing-analytics	17681	13503
music	music	16802	21283
tensorflow	tensorflow	16357	750
sklearn	sklearn	16327	522
data cleaning	data-cleaning	15887	6864
education	education	15597	36423
python	python	15356	2974
alcohol	alcohol	12716	3253
software	software	11253	19782
art	visual-arts	10943	4159
competition metric	competition-metric	10702	0
nlp	nlp	10253	7963
feature engineering	feature-engineering	10181	1394
regression	regression	9216	3081
xgboost	xgboost	9116	307
package	package	8688	0
health	health	8616	23893
keras	keras	8519	376
binary classification	binary-classification	8354	2133
tabular	tabular-data	8323	17843
random forest	random-forest	8254	572
plotly	plotly	8128	147
intermediate	intermediate	7642	6880
cnn	architecture > cnn	7193	1673
image	image-data	7103	63190
lightgbm	lightgbm	6867	141
computer vision	image-processing	6500	7540
neural networks	neural-networks	6431	1026
linear regression	linear-regression	6328	1032
cv2	cv2	6200	294
logistic regression	logistic-regression	5692	488
pytorch	torch	5250	1095
biology	biology	5178	18097
text	text-data	5105	11230
finance	finance	5102	15298
jobs and career	jobs	4865	2237
social networks	social-networks	4539	7500
time series analysis	time-series-analysis	4457	5103
model comparison	model-comparison	4251	386
artificial intelligence	artificial-intelligence	4239	5369
decision tree	decision-tree	4223	497
multiclass classification	multiclass-classification	4151	1826
video games	video-games	3984	8882
ensembling	ensembling	3933	198
sports	sports	3859	11973
nltk	nltk	3648	240
cancer	cancer	3553	67571
statistical analysis	statistical-analysis	3462	1403
golf	golf	3334	380
clustering	clustering	3320	1214
scipy	scipy	3305	52
transformers	transformers	3208	651
news	news	3099	17059
PIL	PIL	3074	23
gradient boosting	gradient-boosting	2916	169
advanced	advanced	2883	2540
automl	automl	2737	952
svm	svm	2697	184
healthcare	healthcare	2689	3358
internet	internet	2666	29974
lstm	lstm	2573	639
categorical	categorical-data	2568	3791
covid19	covid19	2560	2010
geology	geology	2426	1587
transfer learning	transfer-learning	2426	635
movies and tv shows	film	2392	23173
model explainability	model-explainability	2363	160
accelerators	accelerators	2359	71
image classification	image-classification	2334	3002
data storytelling	data-storytelling	2286	1659
heart conditions	heart-and-hypertension	2237	6016
health conditions	health-conditions	2064	11221
currencies and foreign exchange	currencies-and-foreign-exchange	2026	7185
automobiles and vehicles	automobiles	1981	14905
torchvision	torchvision	1964	77
k-means	k-means	1903	237
optimization	optimization	1756	322
science and technology	technology-and-applied-sciences	1670	4770
pca	pca	1597	137
english	english	1585	5652
medicine	medicine	1582	1600
ggplot2	ggplot2	1524	306
recommender systems	recommender-systems	1508	1029
naive bayes	naive-bayes	1494	123
banking	banking	1488	6010
travel	travel	1424	9072
text mining	text-mining	1373	1364
dailychallenge	dailychallenge	1355	3
tidyverse	tidyverse	1342	316
randomForest	randomForest	1296	73
physics	physics	1275	1613
online communities	online-communities	1261	14880
r	r	1258	384
benchmark	benchmark	1226	943
catboost	catboost	1194	67
animals	animals	1187	2989
football	association-football	1165	5655
astronomy	astronomy	1121	2021
geospatial analysis	geospatial-analysis	1103	1614
economics	economics	1102	5615
housing	housing	1086	1181
india	india	1084	3460
text classification	text-classification	1014	1253
computer science	computer-science	1010	58073
rnn	architecture > rnn	989	225
real estate	real-estate	983	4495
health and fitness	health-and-fitness	978	708
sql	sql	967	936
IPython	IPython	955	161
spaCy	spacy	946	85
neuroscience	neuroscience	945	1726
public health	public-health	936	2610
gan	architecture > gan	923	334
cycling	cycling	918	1712
research	research	906	3135
knn	knn	880	80
marketing	marketing	877	939
earth science	earth-sciences	874	3637
diabetes	diabetes	869	6505
object detection	object-detection	849	1630
social science	social-sciences	841	9775
reinforcement learning	reinforcement-learning	832	238
dimensionality reduction	dimensionality-reduction	820	117
weather and climate	weather	813	1874
agriculture	agriculture	810	2191
food	food	799	13383
anime and manga	anime-and-manga	799	3581
outlier analysis	outlier-analysis	790	122
restaurants	restaurants	778	3088
baseball	baseball	769	1894
united states	united-states	769	3281
crime	crime	769	3885
politics	politics	753	5219
ml ethics	ml-ethics	749	660
multilabel classification	multilabel-classification	748	372
bigquery	bigquery	739	593
e-commerce services	e-commerce-services	735	3916
global	countries	734	2237
basketball	basketball	725	2521
datetime	datetime	719	369
audio	audio-data	718	2507
diseases	diseases	718	1271
public safety	public-safety	718	3593
environment	environment	716	2124
retail and shopping	shopping	710	12652
energy	energy	701	7034
chinese	chinese	672	222
transportation	transport	662	12314
text generation	text-generation	658	614
feature extraction	feature-extraction	637	438
religion and belief systems	religion-and-belief-systems	618	10047
survey analysis	survey-analysis	607	465
hugging face	hugging-face	574	137
insurance	insurance	569	3951
segmentation	segmentation	569	463
text pre-processing	text-pre-processing	567	361
universities and colleges	universities-and-colleges	548	13431
bert	bert	548	224
clothing and accessories	clothing	520	35945
image segmentation	image-segmentation	517	1023
transformer	transformer	509	189
literature	literature	499	6091
tqdm	tqdm	488	7
bayesian statistics	bayesian-statistics	487	159
other	other	486	137
earth and nature	natural-and-physical-sciences	478	79354
mental health	mental-health	455	2622
graph	graph-data	453	813
standardized testing	standardized-and-admissions-tests	453	11987
dplyr	dplyr	451	169
mathematics	mathematics	448	384
